Vehicle Speeds
ID: 1, Speed: 8.8 km/h
ID: 2, Speed: 5.8 km/h
ID: 3, Speed: 1.0 km/h
ID: 4, Speed: 1.1 km/h
ID: 5, Speed: 3.3 km/h
ID: 6, Speed: 0.9 km/h
ID: 7, Speed: 2.3 km/h
ID: 8, Speed: 15.3 km/h
ID: 11, Speed: 0.6 km/h
ID: 13, Speed: 0.6 km/h
ID: 14, Speed: 13.8 km/h
ID: 16, Speed: 0.4 km/h
ID: 17, Speed: 32.2 km/h
ID: 21, Speed: 24.2 km/h
ID: 23, Speed: 13.2 km/h
ID: 26, Speed: 16.1 km/h
ID: 29, Speed: 0.3 km/h
ID: 30, Speed: 0.2 km/h
ID: 31, Speed: 0.2 km/h
ID: 32, Speed: 13.7 km/h
ID: 34, Speed: 12.0 km/h
ID: 37, Speed: 0.6 km/h
ID: 38, Speed: 38.4 km/h
ID: 41, Speed: 0.3 km/h
ID: 42, Speed: 11.7 km/h
ID: 43, Speed: 14.7 km/h
ID: 46, Speed: 10.8 km/h
ID: 50, Speed: 6.1 km/h
ID: 51, Speed: 36.1 km/h
ID: 52, Speed: 12.9 km/h
ID: 53, Speed: 19.2 km/h
ID: 54, Speed: 0.3 km/h
ID: 55, Speed: 13.4 km/h
ID: 62, Speed: 1.0 km/h
ID: 64, Speed: 0.3 km/h
ID: 71, Speed: 9.6 km/h
ID: 72, Speed: 12.4 km/h
ID: 73, Speed: 0.6 km/h
ID: 75, Speed: 12.5 km/h
ID: 82, Speed: 10.4 km/h
ID: 83, Speed: 0.4 km/h
ID: 84, Speed: 4.8 km/h
ID: 98, Speed: 0.6 km/h
ID: 99, Speed: 0.4 km/h
ID: 101, Speed: 0.7 km/h
ID: 106, Speed: 24.0 km/h
ID: 110, Speed: 4.3 km/h
ID: 111, Speed: 15.5 km/h
ID: 114, Speed: 4.7 km/h
ID: 115, Speed: 0.3 km/h
ID: 117, Speed: 12.4 km/h
ID: 119, Speed: 6.6 km/h
ID: 120, Speed: 15.8 km/h
ID: 124, Speed: 0.3 km/h
ID: 127, Speed: 14.2 km/h
ID: 130, Speed: 20.4 km/h
ID: 131, Speed: 9.6 km/h
ID: 135, Speed: 14.2 km/h
ID: 139, Speed: 17.8 km/h
ID: 140, Speed: 10.2 km/h
ID: 145, Speed: 48.2 km/h
ID: 151, Speed: 16.7 km/h
ID: 152, Speed: 49.6 km/h
ID: 157, Speed: 39.3 km/h
ID: 158, Speed: 36.4 km/h
ID: 161, Speed: 0.3 km/h
